Title,Location,Time of work,Type of agreement,Salary,Article url
,Wrocław", Fabryczna,Pełny etat,Umowa zlecenie,,
,Twardogóra,Pełny etat,Umowa o pracę,18 zł /godz. brutto,
,Katowice", Załęże,Niepełny etat,Umowa zlecenie,,
Praca w centrum Warszawy (godziny popołudniowe),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 000 zł /mies. brutto,https://www.olx.pl/oferta/praca-w-centrum-warszawy-godziny-popoludniowe-CID4-IDAp7Zq.html#eaba6090d7;promoted
Tajemniczy klient,Kraków", Stare Miasto,Dodatkowa / sezonowa,Umowa o dzieło,,https://www.olx.pl/oferta/tajemniczy-klient-CID4-IDAjusm.html#eaba6090d7;promoted
Kucharka / Kucharz,Warszawa", Mokotów,Pełny etat,Inny,od 20 zł do 22 zł /godz. brutto,https://www.olx.pl/oferta/kucharka-kucharz-CID4-IDD0Evy.html#eaba6090d7
Praca - Pizzerman - atrakcyjne warunki - Pruszcz Gdański,Pruszcz Gdański,Pełny etat,Umowa o pracę,od 16 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/praca-pizzerman-atrakcyjne-warunki-pruszcz-gdanski-CID4-IDBsb50.html#eaba6090d7;promoted
,Kraków", Stare Miasto,Pełny etat,Umowa o pracę,,
Kelner / Barman,Kraków", Stare Miasto,Pełny etat,Umowa zlecenie,od 4 200 zł do 5 200 zł /mies. brutto,https://www.olx.pl/oferta/kelner-barman-CID4-IDCN6EG.html#eaba6090d7
kelnerka sushi,Pruszków,Pełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/kelnerka-sushi-CID4-IDD0ElD.html#eaba6090d7
,Ząbki,Pełny etat,Umowa o pracę,od 4 500 zł do 6 500 zł /mies. brutto,
Kucharz sushi Pruszków,Pruszków,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-sushi-pruszkow-CID4-IDCzkkx.html#eaba6090d7
,Gądki,Pełny etat,Umowa o pracę,od 2 600 zł do 3 000 zł /mies. brutto,
,Konstancin-Jeziorna,Pełny etat,Umowa zlecenie,,
,Olsztynek,Pełny etat,Umowa o pracę,,
,Siedlce,Pełny etat,Umowa o pracę,,
,Mszana,Pełny etat,Samozatrudnienie,8 000 zł /mies. brutto,
,Siedlce,Pełny etat,Umowa o pracę,,
,Lubin,Pełny etat,Umowa o pracę,,
,Łochów,Pełny etat,Umowa o pracę,,
,Poznań", Jeżyce,Pełny etat,Umowa o pracę,,
Praca dla kelnerki lub kelnera,Warszawa", Wola,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-dla-kelnerki-lub-kelnera-CID4-IDD0Cvc.html#eaba6090d7
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 17 zł do 23 zł /mies. brutto,
,Rybnik,Pełny etat,Umowa zlecenie,,
PRACOWNIK RESTAURACJI Berlin Doner Kebap CH Jantar Słupsk,Słupsk,Pełny etat,Inny,od 22 zł do 24 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-restauracji-berlin-doner-kebap-ch-jantar-slupsk-CID4-IDvwBbr.html#eaba6090d7
,Wrocław", Krzyki,Pełny etat,Umowa o pracę,,
,Bielany Wrocławskie,Pełny etat,Umowa o pracę,,
,Wrocław", Krzyki,Niepełny etat,Umowa o pracę,,
,Wrocław", Krzyki,Pełny etat,Umowa o pracę,,
,Kąty Wrocławskie,Pełny etat,Umowa o pracę,,
Pracownika na dostawy i nocki,Wrocław", Stare Miasto,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownika-na-dostawy-i-nocki-CID4-IDB0dnS.html#eaba6090d7
Pomoc kuchenna/Zmywak,Warszawa", Śródmieście,Pełny etat,Umowa zlecenie,od 2 500 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-CID4-IDCChum.html#eaba6090d7
Pracownik/Obsługa Klienta,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 2 500 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-obsluga-klienta-CID4-IDBYlAP.html#eaba6090d7
Pracownik restauracji KFC Sukcesja", studenci od 15zł NETTO,Łódź", Polesie,Niepełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/pracownik-restauracji-kfc-sukcesja-studenci-od-15zl-netto-CID4-IDCN7aD.html#eaba6090d7;promoted
Praca w KFC dodatkowa lub na stałe - studenci/uczniowie od 15zł NETTO,Łódź", Górna,Niepełny etat,Umowa zlecenie,,https://www.olx.pl/oferta/praca-w-kfc-dodatkowa-lub-na-stale-studenci-uczniowie-od-15zl-netto-CID4-IDCN71s.html#eaba6090d7;promoted
